gene_symbol	route	accessibility_status	source
ACTR3	unknown	UNKNOWN	local_default
ACTR3-AS1	unknown	UNKNOWN	local_default
ACTR3B	unknown	UNKNOWN	local_default
ACTR3C	unknown	UNKNOWN	local_default
ACTR5	unknown	UNKNOWN	local_default
ACTR6	unknown	UNKNOWN	local_default
ACTR8	unknown	UNKNOWN	local_default
ACTRT1	unknown	UNKNOWN	local_default
ACTRT2	unknown	UNKNOWN	local_default
ACTRT3	unknown	UNKNOWN	local_default
ACVR1	unknown	UNKNOWN	local_default
ACVR1B	unknown	UNKNOWN	local_default
ACVR1C	unknown	UNKNOWN	local_default
ACVR2A	unknown	UNKNOWN	local_default
ACVR2B	unknown	UNKNOWN	local_default
ACVR2B-AS1	unknown	UNKNOWN	local_default
ACVRL1	unknown	UNKNOWN	local_default
ACY1	unknown	UNKNOWN	local_default
ACY3	unknown	UNKNOWN	local_default
ACYP1	unknown	UNKNOWN	local_default
ACYP2	unknown	UNKNOWN	local_default
ADA	unknown	UNKNOWN	local_default
ADA2	unknown	UNKNOWN	local_default
ADAD1	unknown	UNKNOWN	local_default
ADAD2	unknown	UNKNOWN	local_default
ADAL	unknown	UNKNOWN	local_default
ADAM10	unknown	UNKNOWN	local_default
ADAM11	unknown	UNKNOWN	local_default
ADAM12	unknown	UNKNOWN	local_default
ADAM15	unknown	UNKNOWN	local_default
ADAM17	unknown	UNKNOWN	local_default
ADAM18	unknown	UNKNOWN	local_default
ADAM19	unknown	UNKNOWN	local_default
ADAM2	unknown	UNKNOWN	local_default
ADAM20	unknown	UNKNOWN	local_default
ADAM20P1	unknown	UNKNOWN	local_default
ADAM21	unknown	UNKNOWN	local_default
ADAM22	unknown	UNKNOWN	local_default
ADAM23	unknown	UNKNOWN	local_default
ADAM28	unknown	UNKNOWN	local_default
ADAM29	unknown	UNKNOWN	local_default
ADAM30	unknown	UNKNOWN	local_default
ADAM32	unknown	UNKNOWN	local_default
ADAM33	unknown	UNKNOWN	local_default
ADAM3A	unknown	UNKNOWN	local_default
ADAM3B	unknown	UNKNOWN	local_default
ADAM5	unknown	UNKNOWN	local_default
ADAM6	unknown	UNKNOWN	local_default
ADAM7	unknown	UNKNOWN	local_default
ADAM8	unknown	UNKNOWN	local_default
ADAM9	unknown	UNKNOWN	local_default
ADAMDEC1	unknown	UNKNOWN	local_default
ADAMTS1	unknown	UNKNOWN	local_default
ADAMTS10	unknown	UNKNOWN	local_default
ADAMTS12	unknown	UNKNOWN	local_default
ADAMTS13	unknown	UNKNOWN	local_default
ADAMTS14	unknown	UNKNOWN	local_default
ADAMTS15	unknown	UNKNOWN	local_default
ADAMTS16	unknown	UNKNOWN	local_default
ADAMTS17	unknown	UNKNOWN	local_default
ADAMTS18	unknown	UNKNOWN	local_default
ADAMTS19	unknown	UNKNOWN	local_default
ADAMTS2	unknown	UNKNOWN	local_default
ADAMTS20	unknown	UNKNOWN	local_default
ADAMTS3	unknown	UNKNOWN	local_default
ADAMTS4	unknown	UNKNOWN	local_default
ADAMTS5	unknown	UNKNOWN	local_default
ADAMTS6	unknown	UNKNOWN	local_default
ADAMTS7	unknown	UNKNOWN	local_default
ADAMTS7P1	unknown	UNKNOWN	local_default
ADAMTS7P3	unknown	UNKNOWN	local_default
ADAMTS7P4	unknown	UNKNOWN	local_default
ADAMTS8	unknown	UNKNOWN	local_default
ADAMTS9	unknown	UNKNOWN	local_default
ADAMTS9-AS1	unknown	UNKNOWN	local_default
ADAMTS9-AS2	unknown	UNKNOWN	local_default
ADAMTSL1	unknown	UNKNOWN	local_default
ADAMTSL2	unknown	UNKNOWN	local_default
ADAMTSL3	unknown	UNKNOWN	local_default
ADAMTSL4	unknown	UNKNOWN	local_default
ADAMTSL4-AS1	unknown	UNKNOWN	local_default
ADAMTSL4-AS2	unknown	UNKNOWN	local_default
ADAMTSL5	unknown	UNKNOWN	local_default
ADAP1	unknown	UNKNOWN	local_default
ADAP2	unknown	UNKNOWN	local_default
ADAR	unknown	UNKNOWN	local_default
ADARB1	unknown	UNKNOWN	local_default
ADARB2	unknown	UNKNOWN	local_default
ADAT1	unknown	UNKNOWN	local_default
ADAT2	unknown	UNKNOWN	local_default
ADAT3	unknown	UNKNOWN	local_default
ADCK1	unknown	UNKNOWN	local_default
ADCK2	unknown	UNKNOWN	local_default
ADCK5	unknown	UNKNOWN	local_default
ADCY1	unknown	UNKNOWN	local_default
ADCY10	unknown	UNKNOWN	local_default
ADCY10P1	unknown	UNKNOWN	local_default
ADCY2	unknown	UNKNOWN	local_default
ADCY3	unknown	UNKNOWN	local_default
ADCY4	unknown	UNKNOWN	local_default
ADCY5	unknown	UNKNOWN	local_default
ADCY6	unknown	UNKNOWN	local_default
ADCY7	unknown	UNKNOWN	local_default
ADCY8	unknown	UNKNOWN	local_default
ADCY9	unknown	UNKNOWN	local_default
ADCYAP1	unknown	UNKNOWN	local_default
ADCYAP1R1	unknown	UNKNOWN	local_default
ADD1	unknown	UNKNOWN	local_default
ADD2	unknown	UNKNOWN	local_default
ADD3	unknown	UNKNOWN	local_default
ADGB	unknown	UNKNOWN	local_default
ADGRA1	unknown	UNKNOWN	local_default
ADGRA2	unknown	UNKNOWN	local_default
ADGRA3	unknown	UNKNOWN	local_default
ADGRB1	unknown	UNKNOWN	local_default
ADGRB2	unknown	UNKNOWN	local_default
ADGRB3	unknown	UNKNOWN	local_default
ADGRD1	unknown	UNKNOWN	local_default
ADGRD2	unknown	UNKNOWN	local_default
ADGRE1	unknown	UNKNOWN	local_default
ADGRE2	unknown	UNKNOWN	local_default
ADGRE3	unknown	UNKNOWN	local_default
ADGRE4P	unknown	UNKNOWN	local_default
ADGRE5	unknown	UNKNOWN	local_default
ADGRF1	unknown	UNKNOWN	local_default
ADGRF2	unknown	UNKNOWN	local_default
ADGRF3	unknown	UNKNOWN	local_default
ADGRF4	unknown	UNKNOWN	local_default
ADGRF5	unknown	UNKNOWN	local_default
ADGRG1	unknown	UNKNOWN	local_default
ADGRG2	unknown	UNKNOWN	local_default
ADGRG3	unknown	UNKNOWN	local_default
ADGRG4	unknown	UNKNOWN	local_default
ADGRG5	unknown	UNKNOWN	local_default
ADGRG6	unknown	UNKNOWN	local_default
ADGRG7	unknown	UNKNOWN	local_default
ADGRL1	unknown	UNKNOWN	local_default
ADGRL1-AS1	unknown	UNKNOWN	local_default
ADGRL2	unknown	UNKNOWN	local_default
ADGRL3	unknown	UNKNOWN	local_default
ADGRL4	unknown	UNKNOWN	local_default
ADGRV1	unknown	UNKNOWN	local_default
ADH1A	unknown	UNKNOWN	local_default
ADH1B	unknown	UNKNOWN	local_default
ADH1C	unknown	UNKNOWN	local_default
ADH4	unknown	UNKNOWN	local_default
ADH5	unknown	UNKNOWN	local_default
ADH5P3	unknown	UNKNOWN	local_default
ADH6	unknown	UNKNOWN	local_default
ADH7	unknown	UNKNOWN	local_default
ADHFE1	unknown	UNKNOWN	local_default
ADI1	unknown	UNKNOWN	local_default
ADIG	unknown	UNKNOWN	local_default
ADIPOQ	unknown	UNKNOWN	local_default
ADIPOR1	unknown	UNKNOWN	local_default
ADIPOR2	unknown	UNKNOWN	local_default
ADIRF	unknown	UNKNOWN	local_default
ADISSP	unknown	UNKNOWN	local_default
ADK	unknown	UNKNOWN	local_default
ADM	unknown	UNKNOWN	local_default
ADM2	unknown	UNKNOWN	local_default
ADM5	unknown	UNKNOWN	local_default
ADNP	unknown	UNKNOWN	local_default
ADNP2	unknown	UNKNOWN	local_default
ADO	unknown	UNKNOWN	local_default
ADORA1	unknown	UNKNOWN	local_default
ADORA2A	unknown	UNKNOWN	local_default
ADORA2A-AS1	unknown	UNKNOWN	local_default
ADORA2B	unknown	UNKNOWN	local_default
ADORA3	unknown	UNKNOWN	local_default
ADPGK	unknown	UNKNOWN	local_default
ADPGK-AS1	unknown	UNKNOWN	local_default
ADPRH	unknown	UNKNOWN	local_default
ADPRHL1	unknown	UNKNOWN	local_default
ADPRHL2	unknown	UNKNOWN	local_default
ADPRM	unknown	UNKNOWN	local_default
ADPRS	unknown	UNKNOWN	local_default
ADRA1A	unknown	UNKNOWN	local_default
ADRA1B	unknown	UNKNOWN	local_default
ADRA1D	unknown	UNKNOWN	local_default
ADRA2A	unknown	UNKNOWN	local_default
ADRA2B	unknown	UNKNOWN	local_default
ADRA2C	unknown	UNKNOWN	local_default
ADRB1	unknown	UNKNOWN	local_default
ADRB2	unknown	UNKNOWN	local_default
ADRB3	unknown	UNKNOWN	local_default
ADRM1	unknown	UNKNOWN	local_default
ADSL	unknown	UNKNOWN	local_default
ADSS	unknown	UNKNOWN	local_default
ADSS1	unknown	UNKNOWN	local_default
ADSS2	unknown	UNKNOWN	local_default
ADSSL1	unknown	UNKNOWN	local_default
ADTRP	unknown	UNKNOWN	local_default
AEBP1	unknown	UNKNOWN	local_default
AEBP2	unknown	UNKNOWN	local_default
AEN	unknown	UNKNOWN	local_default
AES	unknown	UNKNOWN	local_default
AFAP1	unknown	UNKNOWN	local_default
AFAP1-AS1	unknown	UNKNOWN	local_default
AFAP1L1	unknown	UNKNOWN	local_default
AFAP1L2	unknown	UNKNOWN	local_default
AFDN	unknown	UNKNOWN	local_default
AFF1	unknown	UNKNOWN	local_default
AFF2	unknown	UNKNOWN	local_default
AFF3	unknown	UNKNOWN	local_default
AFF4	unknown	UNKNOWN	local_default
AFG1L	unknown	UNKNOWN	local_default
AFG2A	unknown	UNKNOWN	local_default
AFG2B	unknown	UNKNOWN	local_default
AFG3L1P	unknown	UNKNOWN	local_default
AFG3L2	unknown	UNKNOWN	local_default
AFM	unknown	UNKNOWN	local_default
AFMID	unknown	UNKNOWN	local_default
AFP	unknown	UNKNOWN	local_default
AFTPH	unknown	UNKNOWN	local_default
AGA	unknown	UNKNOWN	local_default
AGAP1	unknown	UNKNOWN	local_default
AGAP1-IT1	unknown	UNKNOWN	local_default
AGAP11	unknown	UNKNOWN	local_default
AGAP12P	unknown	UNKNOWN	local_default
AGAP2	unknown	UNKNOWN	local_default
AGAP2-AS1	unknown	UNKNOWN	local_default
AGAP3	unknown	UNKNOWN	local_default
AGAP4	unknown	UNKNOWN	local_default
AGAP5	unknown	UNKNOWN	local_default
AGAP6	unknown	UNKNOWN	local_default
AGAP9	unknown	UNKNOWN	local_default
AGBL1	unknown	UNKNOWN	local_default
AGBL2	unknown	UNKNOWN	local_default
AGBL3	unknown	UNKNOWN	local_default
AGBL4	unknown	UNKNOWN	local_default
AGBL5	unknown	UNKNOWN	local_default
AGER	unknown	UNKNOWN	local_default
AGFG1	unknown	UNKNOWN	local_default
AGFG2	unknown	UNKNOWN	local_default
AGGF1	unknown	UNKNOWN	local_default
AGK	unknown	UNKNOWN	local_default
AGKP1	unknown	UNKNOWN	local_default
AGL	unknown	UNKNOWN	local_default
AGMAT	unknown	UNKNOWN	local_default
AGMO	unknown	UNKNOWN	local_default
AGO1	unknown	UNKNOWN	local_default
AGO2	unknown	UNKNOWN	local_default
AGO3	unknown	UNKNOWN	local_default
AGO4	unknown	UNKNOWN	local_default
AGPAT1	unknown	UNKNOWN	local_default
AGPAT2	unknown	UNKNOWN	local_default
AGPAT3	unknown	UNKNOWN	local_default
AGPAT4	unknown	UNKNOWN	local_default
AGPAT4-IT1	unknown	UNKNOWN	local_default
AGPAT5	unknown	UNKNOWN	local_default
AGPS	unknown	UNKNOWN	local_default
AGPS-DT	unknown	UNKNOWN	local_default
AGR2	unknown	UNKNOWN	local_default
AGR3	unknown	UNKNOWN	local_default
AGRN	unknown	UNKNOWN	local_default
AGRP	unknown	UNKNOWN	local_default
AGT	unknown	UNKNOWN	local_default
AGTPBP1	unknown	UNKNOWN	local_default
AGTR1	unknown	UNKNOWN	local_default
AGTR2	unknown	UNKNOWN	local_default
AGTRAP	unknown	UNKNOWN	local_default
AGVR6190	unknown	UNKNOWN	local_default
AGXT	unknown	UNKNOWN	local_default
AGXT2	unknown	UNKNOWN	local_default
AHCTF1	unknown	UNKNOWN	local_default
AHCY	unknown	UNKNOWN	local_default
AHCYL1	unknown	UNKNOWN	local_default
AHCYL2	unknown	UNKNOWN	local_default
AHDC1	unknown	UNKNOWN	local_default
AHI1	unknown	UNKNOWN	local_default
AHI1-DT	unknown	UNKNOWN	local_default
AHNAK	unknown	UNKNOWN	local_default
AHNAK2	unknown	UNKNOWN	local_default
AHR	unknown	UNKNOWN	local_default
AHRR	unknown	UNKNOWN	local_default
AHSA1	unknown	UNKNOWN	local_default
AHSA2	unknown	UNKNOWN	local_default
AHSA2P	unknown	UNKNOWN	local_default
AHSG	unknown	UNKNOWN	local_default
AHSP	unknown	UNKNOWN	local_default
AICDA	unknown	UNKNOWN	local_default
AIDA	unknown	UNKNOWN	local_default
AIF1	unknown	UNKNOWN	local_default
AIF1L	unknown	UNKNOWN	local_default
AIFM1	unknown	UNKNOWN	local_default
AIFM2	unknown	UNKNOWN	local_default
AIFM3	unknown	UNKNOWN	local_default
AIG1	unknown	UNKNOWN	local_default
AIM1	unknown	UNKNOWN	local_default
AIM1L	unknown	UNKNOWN	local_default
AIM2	unknown	UNKNOWN	local_default
AIMP1	unknown	UNKNOWN	local_default
AIMP2	unknown	UNKNOWN	local_default
AIP	unknown	UNKNOWN	local_default
AIPL1	unknown	UNKNOWN	local_default
AIRE	unknown	UNKNOWN	local_default
AIRIM	unknown	UNKNOWN	local_default
AJAP1	unknown	UNKNOWN	local_default
AJM1	unknown	UNKNOWN	local_default
AJUBA	unknown	UNKNOWN	local_default
AK1	unknown	UNKNOWN	local_default
AK2	unknown	UNKNOWN	local_default
AK2P1	unknown	UNKNOWN	local_default
AK3	unknown	UNKNOWN	local_default
AK4	unknown	UNKNOWN	local_default
AK5	unknown	UNKNOWN	local_default
AK6	unknown	UNKNOWN	local_default
AK7	unknown	UNKNOWN	local_default
AK8	unknown	UNKNOWN	local_default
AK9	unknown	UNKNOWN	local_default
AKAP1	unknown	UNKNOWN	local_default
AKAP10	unknown	UNKNOWN	local_default
AKAP11	unknown	UNKNOWN	local_default
AKAP12	unknown	UNKNOWN	local_default
AKAP13	unknown	UNKNOWN	local_default
AKAP14	unknown	UNKNOWN	local_default
AKAP19	unknown	UNKNOWN	local_default
AKAP3	unknown	UNKNOWN	local_default
AKAP4	unknown	UNKNOWN	local_default
AKAP5	unknown	UNKNOWN	local_default
AKAP6	unknown	UNKNOWN	local_default
AKAP7	unknown	UNKNOWN	local_default
AKAP8	unknown	UNKNOWN	local_default
AKAP8L	unknown	UNKNOWN	local_default
AKAP9	unknown	UNKNOWN	local_default
AKIP1	unknown	UNKNOWN	local_default
AKIRIN1	unknown	UNKNOWN	local_default
AKIRIN2	unknown	UNKNOWN	local_default
AKNA	unknown	UNKNOWN	local_default
AKNAD1	unknown	UNKNOWN	local_default
AKR1A1	unknown	UNKNOWN	local_default
AKR1B1	unknown	UNKNOWN	local_default
AKR1B10	unknown	UNKNOWN	local_default
AKR1C1	unknown	UNKNOWN	local_default
AKR1C2	unknown	UNKNOWN	local_default
AKR1C3	unknown	UNKNOWN	local_default
AKR1C4	unknown	UNKNOWN	local_default
AKR1C6P	unknown	UNKNOWN	local_default
AKR1C8P	unknown	UNKNOWN	local_default
AKR1D1	unknown	UNKNOWN	local_default
AKR1E2	unknown	UNKNOWN	local_default
AKR7A2	unknown	UNKNOWN	local_default
AKR7A2P1	unknown	UNKNOWN	local_default
AKR7A3	unknown	UNKNOWN	local_default
AKR7L	unknown	UNKNOWN	local_default
AKT1	unknown	UNKNOWN	local_default
AKT1S1	unknown	UNKNOWN	local_default
AKT2	unknown	UNKNOWN	local_default
AKT3	unknown	UNKNOWN	local_default
AKT3-IT1	unknown	UNKNOWN	local_default
AKTIP	unknown	UNKNOWN	local_default
ALAD	unknown	UNKNOWN	local_default
ALAS1	unknown	UNKNOWN	local_default
ALAS2	unknown	UNKNOWN	local_default
ALB	unknown	UNKNOWN	local_default
ALCAM	unknown	UNKNOWN	local_default
ALDH16A1	unknown	UNKNOWN	local_default
ALDH18A1	unknown	UNKNOWN	local_default
ALDH1A1	unknown	UNKNOWN	local_default
ALDH1A2	unknown	UNKNOWN	local_default
ALDH1A3	unknown	UNKNOWN	local_default
ALDH1A3-AS1	unknown	UNKNOWN	local_default
ALDH1B1	unknown	UNKNOWN	local_default
ALDH1L1	unknown	UNKNOWN	local_default
ALDH1L2	unknown	UNKNOWN	local_default
ALDH2	unknown	UNKNOWN	local_default
ALDH3A1	unknown	UNKNOWN	local_default
ALDH3A2	unknown	UNKNOWN	local_default
ALDH3B1	unknown	UNKNOWN	local_default
ALDH3B2	unknown	UNKNOWN	local_default
ALDH4A1	unknown	UNKNOWN	local_default
ALDH5A1	unknown	UNKNOWN	local_default
ALDH6A1	unknown	UNKNOWN	local_default
ALDH7A1	unknown	UNKNOWN	local_default
ALDH7A1P1	unknown	UNKNOWN	local_default
